,Date,Reviews,Ratings,Serial
1650,29-Oct-18,"1 star only because it doesn't allow negative stars!  Rather than insult any other professions, what a bunch of car salesman!  I have it in writing from the Internet Sales Manager (which I think everyone gets that title so they sound important) the lies they tell to try to get you in the dealership.  This came about after I had an internet price and they tried to quote it $3,000 higher, I called them on it and they began making excuses.  Continue to get emails after I requested NO MORE and so I called them out again on their deceptive practices.  If Grapevine Ford can't be honest up front with their customers in the advertising, then what makes you think you can trust them in regards to anything they say or how they handle service on your car.  AVOID there are GOOD dealerships out there, Grapevine Ford is just not it!",1,30
1659,19-Feb-18,I have bought two vehicles from Grapevine Ford and everything was great but now they are engaging in faulty and deceptive advertising. Grapevine Ford post the MSRP on their website but the actual resale could be 20% higher. It is acceptable to add a premium due to demand and availability but they need to make that clear on advertising and sticker price. All other dealerships advertise true price. Very disappointed as they were very straight forward in the past.,1,30
1660,29-Jan-18,"Seriously worst dealership I ever had to deal with! I know going to a dealership is usually not a fun experience and they all want to get as much money out of you as possible but this place is by far the worst. First off they put amazing prices on their website for vehicles and once you call or actually go to the dealership to check it out the car is either "" just sold this past week"" or they will make up a fee and add a ridiculous amount of money to it. Oh and if your wanting to trade your car in, don't expect to get anything Kelly Blue Book, NADA, or any other online website thinks the trade in value is. Apparently they just make their own price up for that too. So, I went in there to take a look at a new 2018 mustang and trade my 2014 mustang in which has 55,000 miles, only been washed by hand, only used royal purple oil for oil changes, and I put close to $1,000 into it putting custom leather seat covers in it, adding weather tech floor mats, and tinted the windows with a lifetime guarantee. They wanted to give me $8,500 for trading it in. I told the sales rep I looked it up on Kelly Blue Book and it says the trade in value is $11,059 not including the money I put in it. He said KBB is a western company and that they use NADA. So, I looked up the NADA trade in value. The NADA clean trade in value is $11,575. Then, I was talking to a sales manager trying to negotiate a price and I told him about the NADA trade in value, and no joke he tells me they don’t use NADA to look at trade in values, they use this other website. I can’t remember what that site was called. To make this story short, we couldn't come to agreement on the trade in or the final price of the car. Two days later, I look online and find a New 2018 Ford Raptor at the same dealership for $51,080. Amazing price right! So when I called them and tried to see if they still have it in stock and see what the price was, the person I talked to said there was not any sale reps in the dealership at the moment and they would call me back as soon as one comes in. This was at 8:15 am they open at 7:00 am. That seemed kind of fishy to me.  So I had a friend of mine call them 5 minutes later, and guess who answers, a sales rep. He told my friend the vehicle is in stock, but you need to add a $10,000 fee to the MSRP sticker price, so the final price is $61,000. 45 minutes later a female sales rep gave me a call. This sales rep said the vehicle is in stock but you have to add $15,000 to the MSRP sticker price. I said why do you have to add $15,000? And no lie, she stuttered and actually took a while to come up with an excuse as to why they add that much to it. She then asked me if I wanted to come see it and I said I only wanted to come see it if I can get it for the price you advertised on your website. She then said, “Ya we can’t sell it to you for that price"". I then texted the sticker for the vehicle to the sales rep I talked to about the mustang. He texted me back saying, ""yes that vehicle is in stock"". I then texted him if he wanted to sell a truck today and sell me for the price on their website and on the sticker then I will come up there and purchase it that day. You probably guessed it he never texted me back. So if you want some advice, I would not go to this dealership. All they do is play games, make up numbers, and try to screw people over. If you see a good price online for this dealership just add a minimum of $10,000 to it and that’s the real price. Also, I would never trade my car into this place. Expect to get a couple thousand dollars less than what the trade in value should be.",1,30
1676,01-Dec-16,"The salesman picked out a car from inventory and said he could trade for it.  We negotiated on the car and agreed on a price.  The sales manager came in and took a little more off the top and closed the deal.  He assured me they secured the trade and to come pick it up in 2 days.

When I got there to take delivery I discovered on my own they didn't get the right car.  I asked and they said it was, I referred back to our paper work and showed them it was not.  The sales manager Jeremy found out he could not trade for the car I wanted and he switched vehicles on our final offer paper and my final contract and paper work.  At no point during this process did they tell us they swapped cars.

After all this they wanted me to promise I would give them perfect marks on my survey they sent me.  All they care about is their survey.  Other dealerships want honest feedback on how they are doing, not perfect marks to hide their flaws.

Lies and lies after and I cancelled the deal.  ",1,30
1727,27-Jul-12,"First off, I was very pleased with my sales associate, Robert Miller. He helped my pregnant wife and I find the right vehicle for our growing family. He was very knowledgeable and easy to work with. I am pleased with the vehicle that we decided upon, the 2013 Ford Explorer. My issue is with the games they play to try to make money at Grapevine Ford Lincoln. I was initially quoted a price of roughly $39600 on my vehicle even after telling them several times that my budget was to stay below $35000. After haggling for 2+ hours to get the price to something I could live with, I was told that it would be just a few minutes until I would be ushered back to the finance guy, Brian Mainard. We sat there waiting for over an hour before anyone came by and inquired as to what we were doing. Once we got back to Brian's office, he pitched us 15 kinds of insurance for the vehicle, all sending the total cost well past my budget price. After I told Brian I wanted NONE of the extras he was trying to sell me, he put his sleazy car salesman hat on and ""worked the numbers."" He said he would keep my payments the same and offer me the extra services. I thought ""great,"" I'm getting these services for free. Essentially he lowered my interest rate, but charged my for the price of the extra insurance, keeping my payments close to the same, but again sending the total price well past the price we had shaken hands on several hours earlier. My question is, if he has the power to reduce interest rate with the wave of his hand, which was half of what he first quoted me, then why wasn't I offered the lower interest rate in the first place? I'll tell you why, because they only care about the bottom line and nothing about helping the customer into the right vehicle for the right price. Here is the kicker! Once I got home I searched cars.com, for similar Explorers, which I had done several time while researching what vehicle I wanted. Lo and behold our Explorer was on there. I must have missed it when searching before. The kicker is that the list price on the vehicle on the internet was only $400 more than what we finally agreed upon, $4000 less than the $39600 I was originally quoted. That would have been a great starting point! I hope you have learned something from this review, I know I have. Bottom line, I will never again deal with Grapevine Ford Lincoln and Brian Mainard!",1,30
1728,11-Jun-12,"Called Trent to verify price and ask about certain features on car after seeing advertised on website. He checked car came back and verified it had window tinting and alarm along with all features listed. After I informed him I was on the way there, my husband and I drove there. Upon entering another man named Mark said he would help me and we went on a test drive. We came back in and he showed us the price $299 more then the website price Trent had verified. We were told they had to add on for window tinting and the website price had accidentally been marked a $1000 too low but they would give it to me with an extra $299. I said I wanted the price I called and verified and they just told me same thing over and over. Several people called on days to follow and they all said the same thing. It was very annoying. I felt very very bad about the whole experience.",1,30
1733,08-Sep-10,"I tried at length to get a straight forward quote on a new vehicle and was given the old ""we only have one at the low advertised price...blah...blah."" Thru numerous emails they would change their tune on the avaiable discount which was very frustrating.  When I buy a car, I want the best price up front....period! So I email several local dealerships and request a quote.  The one with the best price and honest answers wins my business......that was not Grapevine Ford.",1,30
1735,01-Jun-10,"Was at that the dealership for an hour and a half before I even got the price on the vehicle I was looking at (rule of thumb, if you're in the business of selling you might want to know the prices). The price once i did get it was extremely high. After haggling for another 2 hours i got them down to what they called their ""absolute lowest"" price they could do and we parted ways from there. I had a friend call the next morning inquiring about the same vehicle and they gave her the price I had just spent 3 hours to get right off, over the phone. The manager informed me before I left that these deals dont come along very often. Turns out they do, I bought one a day later. It was newer, nicer, fewer miles, certified and less money. Thanks Grapevine Ford for not selling me a car... Your the best!",1,30
1758,21-Dec-16,HORRIBLE SALES MANAGER! I am a USAA customer and they would not honor the price quoted on my No-haggle car buying service sheet. They added thousands stating it needed a repair to the taillight. NEVER purchase from this dealership. I came in fully approved through USAA and they claimed they could beat my APR by over 0.5% and 3 hours later.....0.02%. ,1,31
1764,23-Jun-14,"They make you sign bottom line price and then they don't even tell you and add dealers add on excluded to bottom line price which you signed for. All dealers include dealer add-on to the bottom line price. They dealership tried to hide the truth from you if you don't do your math right. Please be aware, I didn't buy from them because they lied to me. ",1,31
1778,17-Nov-17,"We went in there to purchase a used Mercedes GLK350. After the negotiation we agreed on a price. We went back later in the afternoon to finish the deal. After three hours and signing the paperwork, doing a hard pull on my credit for the agreed upon price, they decided to come and tell me that the price wouldn't work and said the GM did not agree to the price.

Completely unprofessional and unacceptable. DO NOT RECOMMEND. ",1,32
1845,08-Aug-17,"Bought a tow truck from them and there was a problem with the price and they said they would fix it and chose not to. Shame on you Zack. You wil pay with social media. 
Have emails to back every word!!!!!!!",1,34
1857,29-Dec-12,"Went to Southwest ford with hopes of buying the truck I saw on the internet. After speaking with Lee and Andrew on the phone I was promised that if we were not able to come to a deal on that particular truck that they had a huge inventory and could find something close to it. I also was promised that they would refund my gas money, and neither of these happened. I drove over 2 hours away and wasted my entire day only for Lee Forde to wait around for Lee to come back at full sticker price! I would not recommend Southwest Ford to anyone. ",1,34
1887,03-Jan-14,"I was sold a used vehicle that had been wrecked and it was not disclosed to me. I returned to the dealership and they said they would not buy it back and would only take it in on trade at their dealership. I had it for 8 months and they gave me 5,000.00 less than I paid for it. The staff advised me they didn't know and I didn't know so it wasn't their problem. The manager then advised me they made good money selling the car to me and laughed. The dealership would not return my calls and I had to drive back to the dealership to get the problem resolved. They then told me they would sell me a car at cost which they hassled me about until I seen the actual cost price and it was 1,300.00 less than what they quoted me. It was an all around mess and they didn't care. Think twice before using this dealership. My family has bought over 80 vehicles from this dealership and they acted as if they could care less.",1,35
1913,06-Mar-19,"West Point GMC Buick uses a bait a switch sales technique.  They offer a low price and add extra ""security fees"" and say that you don't qualify for the ""trade in incentives"" even though they knew I did not have a trade in.   I've bought many cars from dealerships before and this was by far the worst experience I've had.",1,37
1925,22-Sep-14,"I had a really poor experience at West Point. I believe the name of my salesman was Echo or Etko. I came in to to a 2009 BMW 750LI. It was originally listed on Ebay for 29k, a vehicle with 50k miles. I found that to be the best bargain online and I called in immediately. I originally spoke to a gentleman name Jay and he was very helpful and informative. However my schedule and his conflicted and unfortunately had to deal with Echo. I test drove the vehicle, the BMW had a some type of battery issue and was less than a perfect ride. Even still I figured we can work out a deal, get some of those minor issue corrected and still drive home with a new car. 

Upon working the deal Echo attempted to sell the car to me for about $5000 more than what the advertised price was even AFTER I told him the special. He goes back and comes back and still tries to sell it to me for about $2000 MORE than what the advertised price was and basically write the original arrangement off claiming that whoever listed it for so cheap ""could loose their job"". I was less than amused.

When asked if I could take the BMW to a BMW dealership and have it checked out he said I would have to wait until monday and if there is any other issues that they will not be willing to fix it or address it. 

It was very clear than when he realized he was not going to be making nearly as much on the deal as he hoped he became very short, impatient and downright rude. I asked about warranty and he threw some number at me and wouldnt let me speak to a manager. I really wish I wouldve seen Jay that day and maybe things wouldve been different. ",1,37
1954,03-Jan-14,"I was sold a used vehicle that had been wrecked and it was not disclosed to me. I returned to the dealership and they said they would not buy it back and would only take it in on trade at their dealership. I had it for 8 months and they gave me 5,000.00 less than I paid for it. The staff advised me they didn't know and I didn't know so it wasn't their problem. The manager then advised me they made good money selling the car to me and laughed. The dealership would not return my calls and I had to drive back to the dealership to get the problem resolved. They then told me they would sell me a car at cost which they hassled me about until I seen the actual cost price and it was 1,300.00 less than what they quoted me. It was an all around mess and they didn't care. Think twice before using this dealership. My family has bought over 80 vehicles from this dealership and they acted as if they could care less.",1,38
2014,29-Mar-17,"Test drove a new Odyssey and had great service. After reviewing all the used inventory online, I analyzed KBB and Car Gurus, and I went in to see a specific used 2014. We were not allowed to see the car closely because it was in the workshop--the sales person did see the car more closely. The sales person let us know we should put a deposit on the car if we wanted to hold the option once it was cleaned up. We agreed. Then he told us we needed to decide on a price. I was surprised but based on all the research I had done, it was only $300 above my target price. I asked for a break and they said no. Still an okay deal, so I signed the price. 1 minute after I sign they say that now we can see the car but that the mileage was wrong--instead of 10k, it is 23k. I was disappointed, the low mileage was a key reason I was interested. KBB suggests that the price difference for that mileage should be a little more than $1300. Bait and switch. I asked to discuss if there was something they could do since our deal was based on very different mileage. They pulled the classic ""I'll ask my manager, oh wait, he says no"". The manager, Billy Watson came out and said, that the error that was mysteriously in their favor, was an accident and that I should expect him to compromise (even though the deal the sales person and I had agreed on we negotiated under an assumption of less than half the mileage). Billy might be right though, I may have expected a typical employee of Honda (which is a brand I love... or loved) to have compromised or to have behaved with more integrity, but I guess it was naive of me to expect a sale manager that ""accidentally"" posts low mileage which ""accidentally"" accrues to his favor and only reveals the information 1-minute after the price negotiation is finished to have compromised.",1,40
2025,08-Jan-11,"I was trying to buy 2011 Honda Odyssey
The internet manager (M.Z.) was trying to play ""bait and switch"" game.
Initially, he gave me good quote. Then when I wanted the offer, he said he could not honor and and said it was his mistake and that was the price of lower model. I knew this is just a very common tactic ""bait & switch"" of professional sale man. They should treat customers more respectfully by not playing such cheap tactic. Never deal with them again. Just wasted time
",1,40
2032,30-Oct-19,"A used car was posted online for $5,700. I chat online and confirmed the price for $5,700. Besides, I requested an online appraisal for my car and immediately they gave me a range of what they could pay for mine, So I went (from far away) and after spending more than 3 hours, they gave with this paper with a totally different price for their car ($11,995) and an appraisal for mine almost $1,500 below the minimum price provided in the online appraisal.
I decided to talk with the manager and no surprise, I found a rude and disrespectful woman that could not even apologize for their mistakes or wasting people's time. It was clear she cares only for numbers, not for treating customers right. 
I don't recommend this dealership. Definitely, the worst experience.",1,41
2058,23-May-17,"Don't believe what the sticker says. I purchased a 2017 accord and told them I was fine and I would pay the sticker price. It was only when I got home that I noticed the list price was $1000 on the purchase order. There was no line item,  magically 22,986 was now 23,986. I called them and was told that it was a fee that covered ""getting the car ready for sale"". So I'm not sure what they did but it took $1k to get a 2017 ready to be sold. 

I informed the manager that this fee was not conveyed to me by the salesman but to no avail. I returned the car and advise anyone looking to purchase from this dealer to watch out for these sleaze xxxxx. You will never get a car from this dealer at or below the advertised or sticker price.

I would also like to add that potential buyers need to be weary of any 5 star reviews for a car dealership. I can't imagine anyone loves everything about buying a car.",1,41
2059,10-Apr-17,We had a terrible used car sales experience. Buyer beware! They tried to add some bogus fee on top of the advertised car price and they use aggressive sales tactics. We checked with other Honda dealerships around town and none of them add this bogus fee.,1,41
2061,13-Jan-17,"I wish I would have read the reviews  first before I wasted my time driving all the way across town to deal with these people. Their business practice is so crooked and so severely lacking that I hope this review saves people the headache and the time of dealing with them.

We test drove a car yesterday. Before we left , Marissa, the Manager, stated that they made a mistake on the price and that the price would increase in 48 hours. I called back in less than 24 hours and they said the price already went up $2,000 and that they would not honor the price they quoted when I test drove the car. When I spoke to the salesman about it, he said the Manager told me 24 hours (which she did not, as my daughter heard her also and I even wrote it down) and that the car was just on sale at the time I looked at it. Either way, it's not my problem if they made a mistake on the price, plus I called back even before 24 hours was up, so their argument is full of it.

I have dealt with numerous dealerships from Houston to San Antonio and Dallas in the past year, as I recently bought a new car and have been looking for a used car for my child for several months. I know car salesmen don't have the best reputation, but this one goes far beyond their usual deceptive practices.  This is the only dealership that I have encountered thus far that when you are trying to make a deal, does not honor what they say and switches things up when you are in the middle of trying to make a deal.",1,41
2069,15-Sep-15,Listed a price online and didn't honor it. Had an already qualified loan from Santander and they told me they have to apply to santander for themselves only to charge a higher rate apr. crooks. Especially Taha. Stay away from them.,1,41
2071,08-Jul-15,"uys, don't buy used cars with them.. I recently bought the used car and my experience was very bad and I dont have any option to quit in middle of the process as I already singed the paper work. I have seen the used car and did the test drive, i told sales person that there are some good signs of scratches and paint issue on the car. Sales person told that 'no problem, i will take care of them' and after I sign the paper and I asked him can you fix those issues you committed and I am surprised that sales person saying that 'we will not able to fix them and do anything with them'... This is the first time I am seeing such a core profession marketing sales person which behaves completely different before and after signing the papers

Also i approached them with Internet price and in Internet nothing was mentioned extra on top of Internet price. After I decided to buy then sales person given the car price as Internet Price + added Service Fee (Service Fee means all lubricant oil changes on the car + they said Gillman will give life time engine warranty for that they will charge extra $998 on top of Internet price(this was not mentioned on the internet)...So i negotiated the final price as same as Internet price (i am hoping that my price will include life time engine warranty) and after signing he said i will NOT get any warranty as I declined that....But i have not declined and I have negotiated the final price which includes warranty...... Finally I realized that they simply add extra $998 and every customer negotiate and  even after customer negotiate the price still they will get as the internet price what they offered ...customer simply loosing money and they are getting what they initially quoted ($0 on negotiation), so they completely cheated me on the price.

One more catch on life time engine warranty on all used cars means you have to come to their service center and do all regular services and if you miss one service then this life time engine warranty will not work...

My bad was i really not noticed some major issues on the car like windshield crack with temporary fix on it(I  noticed when driving the car back to home) and some of the dashboard switches are very bad...Even I have not called and asked them on these issues because I don't think they will respond....

My friends, be cautions while talking/dealing with these guys...
",1,41
2072,05-Mar-15,"Today I went to Gillman Honda Southwest first time ever in my life and will NEVER go again even if they pay me to visit them. My experience was horrible. Lawrence manager of sales department. He is so arrogant and full of his ego. Through out our conversation, he was bragging about his ""25"" years of experience and how Gillman Honda is the biggest dealer. When I mentioned stopping by John Eagle Honda for price comparison as being straight forward and honest person. He totally refused to give me any price for 2015 Honda Accord Sport. 

How can you expect someone to buy anything without them knowing the price. I asked him to whether he ever purchased a pair of paints from a shopping mall without  knowing a price for them. He said no. Then I asked him how can you expect me to buy a twenty seven thousand dollars of car without knowing the price. 

He got tipped off when I mentioned to him John Eagle Honda. He said John Eagle Honda were very small and low class dealer than Gillman Honda. 

He was rude, argumentative, unprofessional and mean. I DO NOT RECOMMEND ANYONE GO TO GILLMAN HONDA EVER!!!!! OR AT LEAST NOT TO DEAL WITH THE MANAGER LAWRENCE. 

Lawrence ""the manager"" full or his ego and arrogance should learn from his juniors sales associates. This is what happens sometimes to some people when their little job get to their head. This is what exactly took place. You are treated in Burger King better than they way how Gillman treated me. 

The sales consultant Mr. Reynaldo M. was excellent. Manager Lawrence should learn from rookie and honest sales consultant Reynaldo. 

Gillman Honda fire your sales manager you lost my business for sure and you will loose more business if you Lawrence keep on treating paying customers. ",1,41
2075,05-Sep-14,"The internet sales team at Gillman did not honor their email quote. I went in ready to purchase a vehicle for the price they had quoted me via email only to have a fast one pulled on me. I was very explicit in my email inquiry and confirming that all costs (including destination fees, TT&L and dealer accessories) were all included in my 'drive-out' price before making the drive to the dealership. They confirmed that their quote included all of the charges in writing, so I drove there only to have them tell me they couldn't honor the price and then have them try to start renegotiating pricing. They had the exact make and model in inventory I wanted, but I walked away because they did not honor the price they had provided me. There are good honest sales people out there and I won't give my business to a dealership that pull these dishonest stunts. Very disappointed in my experience with Gillman. 
",1,41
2099,07-Jul-10,"They advertised a Yaris on Craigs List, and when I show up after confirming everything on the phone, the price tag is higher and they say ""we never advertise on CL"".  Then I show them the ad - and they're like - we will match this price for you for today - what - match - that's when i bring in a competitor's price - this was the exact same car & VIN - match?!
Then they said the internet prices are lower due to competition - well then this is a lower priced car.  Yes, but they said this car is higher priced - maybe another car was the price you are quoting sir... well NO - i am showing you a print out of this car - this VIN# not even a week ago posted by you. 

Then they said the car was a trade in - when I asked for the car fax report - it was bought at an auction!  Then they said it was not in any accident, and i look at another report that says it was.  

They were so aggressive and pouncing upon me the customer, that I was almost driven out of there for having shown them a print out of their car's ad with a lower price than the sticker on the car.  Not only were the sales guys rude and uncoordinated in their responses, they were possibly the least courteous of sales folks and most stand-offish attitude guys i have met in a long time.  My original phone calls were not returned. When I finally met somebody, he gave me tall false stories, and despite realizing that he had said lie after lie to me they had the courage to be stnad offish.",1,41
2111,30-Jan-18,"We went to this dealership to buy an Odyssey Touring. We did a test drive and finally got to the point of negotiating price. For the whole negotiation, we were talking about out of the door (OTD) price without any trade-in or anything. In addition, we never mentioned about how much we wanted to put down for down payment. We got the the OTD price of $43,000. Then we go to finance office. Everything went fine up until the point we signed the payment paper. We agreed to put down $10,000 as our down payment which means that we will finance $33,000. But NO, on the paper, the amount we needed to finance was $35,000. Turned out, from the beginning, they had put $2,000 as my down payment without my knowledge. Basically, their PRICE WAS $45,000, not $43,000 which I was led to believe. This came at a surprise to my salesman too because as I said, we negotiated the car’s price without any down payment in mind. Moreover, when presenting the finance paper to us, instead of showing, explaining, and checking everything on it (ex: interest rate, down payment, amount finance…), the finance guy just went straight up to the monthly amount and tell us to put initial on it, trying to rush through the paper. If we haven’t caught that, we would of buy that car for $45,000 and thinking it was only $43,000. The final straw that make me writing this is when the finance guy told me that that was never his fault, that $2,000 was on the paper from the beginning and I did not read it (my thought: even your staff did not see this, and you still had to courage to blame it on me????). I understand that dealerships need to make their money somewhere, either car price, finance, extended warranties, or accessories; which is totally acceptable; but what I cannot tolerate is when they are trying to SCAM their customers. Yes, I used the word “SCAM.” Their way of doing business is highly UNETHICAL. After reading my review and you still want to give this dealership a try, by all means, be my guess. At least, keeping my experience in mind and I hope you get a good deal from them. My final warning: EXTREMELY CAREFUL WITH THIS DEALERSHIP!!!!
",1,42
2165,05-Sep-16,"I've been lied to twice at this dealership in the last two years.  The first time, I was told that the window had been replaced on a used car and that I should come back and look at it.  Showed back up and of course it wasn't.

Today I was told over the phone a sticker price (Not the MSRP) for a Civic, and showed up to find out that the sticker price was actually over 2,000 higher.",1,44
2167,28-Jan-16,"Our car was totaled by another driver.  Their insurance company 'adjusted' the value of our car based on the 'adjusted' market price in the DFW area.  We've got a short fuse to make a decision to replace our  car.  We researched the market and put together a list before calling dealers.  Lute Riley advertises ""the Sonic Price"".  No matter how they talk around the subject, the Sonic Price is their bottom dollar and not entirely competitive.  They'll tell you they'll work with you, don't waste your time.  Very disappointing.  We were able to do much better on price and mileage for same year and model elsewhere.  Do you homework!!  ",1,44
2170,16-Jun-15,"Looked at a white HR-V with a 6-speed manual trans.  They had put over $1500 worth of extra garbage ( wheel locks, window tint, pinstripe, etc) on this vehicle.
I asked the sales manager when they were expecting their next delivery, so that I could buy one straight off the delivery truck, without $200 worth of add ons sold with it for $1500.
When I called for official written prices, the moron sent me quotes for two different vehicles with auto trans.

The sales manager replied, ""even if you wait for delivery, we will add those (extras)and make you pay for them"".  I would not buy a tricycle from this dealer.  wound up buying from David Mcdavid of Irving without all the extra garbage.

",1,44
2182,15-Oct-10,"First of all, car was advertised on internet for $16999. I called internet manager, she told me that was the price and reason was since you had car for long time. I come in, talked to Kevin Castro, very helpful and nice, but in getting price from his manager, he said he couldn't sell it for that price. He said it was a mistake.  There was no retractable ad and since I worked in retail for 40 years, we had to sell an item for the advertised price.  Also he said only had car for 2 days and internet manager stated that you had the car for a long time.  Manager said he would sell for $17,500 and I agreed, then when I saw contract, it had Dealer fee $299.  I did not ask for it and Kevin said it is on every car sold, but I was never explained this before I received the contract.  I do not agree with this policy.  ",1,44
2191,25-May-09,"These people are just a bunch liars.
They will give you a quote over the phone and then you will never get the price they quoted you. Internet sales team is a real joke. Also they load vehicles with bunch of overpriced, ugly looking accessories which they also try to add to the price and  which makes it 1500-2500 more than a sticker price. Wheel locks that Honda sells for $65 (when you can find aftermarket for $25) in Lute Riley will cost you $295. Same factor you can apply to everything else they sell. Never will step into this place again!!!",1,44
2193,14-Jul-07,"When I went in to purchase a vehicle, I told AK, who I belive is the used car manager, what my budget was and what I wanted.  He gave me a few options, but none of them fit what I needed.  He kept pushing me to see cars that were way above my price range, and was extremely rude after I went and looked at cheaper vehicles on the lot, and told him which vehicle I wanted.  He told me a price and my payments, but whe I got into the finance office, he had added 2k to the selling price, calling it dealer fees.  I blew up on the finance person, Matt Noel, who did correct the situation, kudos to him, and I purchased the car I wanted.  I WILL NOT PURCHASE AT LUTE RILEY AGAIN.",1,44
2216,10-May-20,"Beware of Hidden fees!!! BAIT & SWITCH!
The price they listed on their website is not what they will quote you in person! I also used the USAA TrueCar app which gives Military discount price but they don’t follow it. What is the point of having those apps as a tool for car buying guide if dealership doesn’t follow it. The salesman and manager will always find a way to make an excuse and blame something like inaccurate prices on USAA TrueCar app that promises accuracy and instant price breakdown on vehicles from dealership that they partnered with. I mean c’mon it’s 2020, stop living like it’s 1985! People can find the answer over the internet nowadays and compare. It’s disappointing and that they treat people like veteran customers with a whopping extra $2100 on the top of a used car valued under $15k!!! By the law, consumers only pay for Tax, Title, and License (registration). Document fees should be at the maximum of $150. I was told that the $2100 is to recoup the cost for the reconditioning of the vehicle and when I checked the battery the sticker was dated 06/18 which is 2 years old!!! Make sure y’all check the battery stickers for date (warranty) and tires are stamped with dates because that’s how manufacturers keep track of the warranty! Don’t let dealership ripoff honest people and don’t let Honda Burleson take your hard earned money. Only pay for what is listed on the website and the Actual Vehicle Value. Any extras like tint, wheel locks, and etc are not required to pay by the law! Dealership installed items are gimmicks! I understand the work that is done but if they are going to charge me extra $2100 for reconditioning then why they didn’t even fix the bumper damage of the car. The only thing that is relevant to the repairs are the new tires and that’s it! When I talked to the manager I told him that I don’t want to pay for dealership fee $2100 because it’s not listed on their website. They will try to argue and show you the generic message (footnotes*) thinking they can somehow make you believe that you are required to pay extra because you are stupid enough not to understand the internet price and basic math! Stop making excuses, be fair and honest to customers. Don’t even mention transparency if you can’t itemized the items for charging extra $2100. It’s a xxxx used car! Not an antique. Car buying experience should be fun but my salesman asks me questions like I’m a dollar sign! Be knowledgeable on the product and explain the functionality of the vehicle before proceeding with the price and then don’t go to your manager when you can’t decide about the final price because you don’t make the finance decisions! You’re a salesman for a reason so earn your title, managers manages employees and not customers! I can’t even imagine how they make sales in new car department...

",1,46
2217,12-Mar-20,"The price they advertise online is not what they quote you in person.  We found one of their used cars online and went in to look at it.  I knew there would be extra fees for TTL, but after test driving it we were told the actual price was about $5,000 higher than what it was listed for.  The salesman explained that the additional cost was for the reconditioning fee for work they did on the car to get it ready to sell.  I can understand there being work that needs to be done on the cars and the dealership wanting to recoup that cost.  My issue is why not include that in the advertised price. When we asked our salesman about this he said that no dealership includes that extra cost in their advertised price and if Burleson Honda did no one would come look at their cars because they would be advertised for higher than other dealerships around. I don't know how accurate that statement is.  We felt very deceived.  The added amount took the price out of our budget.   After the back and forth drama that occurs in buying cars they did come down on their price some but we still paid about $2,000 over the advertised price.  Looking back I wish we had got up and walked out but we were in a real crunch with needing a new car.  It just leaves me wondering what else they were deceptive about.  Did they really do the work they claim they did?   As we are starting to look for another used car for my husband we'll look elsewhere since this dealship was deceptive with us. 

",1,46
2243,02-May-16,"I had been following their inventory for some time and reading their great reviews, hoping this is where I'd buy the car for my soon to be 16 year old daughter.  
I sent an inquiry on a CPO car on their lot and was promptly replied by Carl R.  Through emails I discussed with him that I was very busy at work and with the kids, but that I was very interested in this certain car.  I verified that it was in fact a CPO car, mostly due to another individuals review that she was sold a car believed to be CPO and was not (you can read that review here on Dealer Rater as well), in which he assured me it would be.  So I stated that I was bringing my own funding and wanted the full price of the vehicle so that I could be prepared and ready to go if the car was to my liking.  Here is when the bomb dropped for me, nearly $2000 was being charge above and beyond the internet pricing for ""Certification"" fees.  Not only is this a ridiculous mark up to call the car ""CPO"", but even more ridiculous on a 4 year old car!!!  I currently own a car very similar to the one I inquired about and could not believe what the total price of their car was to be, the TRUE price, not the one advertised.  Carl assured me they would not lose my business over ""a couple of hundred dollars"", his words.  Well maybe not over a couple of hundred, but most surely over 2 grand!!!  No wonder the majority of people are upside down on their car loans, if they are getting suckered into this kind of car buying!",1,46
2268,15-Jul-13,"A little over a year ago I agreed to purchase a vehicle from this dealership. I had received a phone call from the salesman saying that, If I financed my vehicle through Hyundai that they would lower my previously quoted price by $1500. We agreed upon a final ""drive out"" price and I went to the dealership to pick up the car. When I arrived, they told me they did not have the car we agreed upon and wanted to sell me a different vehicle for the agreed upon price but without the agreed upon options. I walked out of the dealership! After a year, I needed another car and thought I would give them another try. Yes, they did almost the exact same thing the second time. I have finally learned my lesson...there will not be a third time!",1,47
2401,13-Aug-16,"This review is for Exotic Cars of Houston ... North Freeway Hyundai's exotic used car department (?)

Be careful buying a vehicle from these guys out-of-state. It was a very poor experience overall. You'll see the white G63 I bought in the dealer header photo. Paid cash and had nothing but poor communication and lies after the sale. 

Several items were not discussed including dents and engine problems. On top of that the dealer agreed to cover our all-in-price agreed to (taxes, fees, etc) and then backed out of it. I have to take these guys to court now to get a resolution. 

I worked with Matt Blevins. 

In cases like this, it helps to have actual facts and evidence on hand. 

I have, in writing, you agreeing to an all-in-price with no additional fees. As you pointed out, in AZ we don't pay tax with private party sales. I mentioned during the sales process that there was one other G63 from a private party that I was considering buying. You can see why I wanted an all-in-price, so that it was a comparable deal.

In addition to lying about the taxes and failure to disclose issues with the car... Exotic Cars of Houston isn't even incorporated or have a dealer license in the state of Texas (which they are going to hear about).",1,51
