,Date,Reviews,Ratings,
207,15-Mar-17,"Staff that I met to view cars, revisit again to purchase  are friendly, not pushy, and efficient.   Christian Alvarez was the Costco liaison staff that I worked with for the purchase.  He was helpful and patient with all the questions my sons and I had.  When sale was completed,  Christian  was helpful in sharing some of the features and how they work.  He also instructed me on some of the features for safety and the added features of convenience of this model.  I learned about the Maintenance Dept.   and was surprised with the friendly atmosphere of all staff.   Visiting this Carlsbad dealership was comfortable and very helpful.",4.8,
209,11-Mar-17,Cody was extremely professional and very helpful!  He didn't pressure me and didn't act rushed to show me the features and answer my questions. I would definitely recommend others to work with Cody on purchasing a vehicle and to go to North County Hyundai.  I had an excellent experience at this dealership compared to the Temecula dealership where I backed out of a vehicle purchase that didn't meet my needs.,4.8,
213,02-Mar-17,Cody was an excellent and informative salesman. He went out of his way on his day off to come in and help me finish my deal.,4.8,
215,02-Mar-17,"I love Carlsbad Hyundai! I have been coming to you for almost 3 years on a weekly basis for services, and I would like to say that every employee that I have come to know has always been kind, polite and friendly. And I always look forward to my visits to Carlsbad Hyundai. Always professional and Friendly!  Thank you! Rosa Rivera",4.8,
217,24-Feb-17,"Great salesmen and place is really clean... The 17 elantra I bought is a great car!.. Just wish android auto was working ... Not working at all because they forgot to update the system and now I gotta go back just to update it...but other than that ,everything is good...thank you :)",4.8,
228,09-Feb-17,I would  recommend the Sales Rep. Joe Murray. The entire staff were equally pleasant and friendly. Joe went out of his wayto make me believe he was really on my side in the decision.,4.8,
229,09-Feb-17,I am extremely happy with my purchase and will refer friends and family.  This was the most pleasant experience myself of my wife could ever imagine for purchasing a vehicle.,4.8,
234,23-Jan-17,"I called the dealership because I knew the car that I wanted after researching on the web.  The dealer was able to locate the exact car and color I wanted.  Once I knew that I was going to purchase the car the dealer had me driving home in it, quick and easy.",4.8,
235,19-Jan-17,"I had not decided upon a Hyundai when I visited the dealership after my on-lie inquiry, but Alex met me and without any pressure led me through a process that was friendly and informative. I decided not to look at other brands since I was getting into a nice car with appropriate financing.",4.8,
241,10-Jan-17,The team at North County Hyundai of Carlsbad ranks number one on my list of purchase experiences since I've started purchasing cars for the past 20 years. These guys too care of me and fielded all my questions which led us to doing a deal. Eric Becker and Robert were a pleasure to work with.,4.8,
242,10-Jan-17,"Salesman was professional, friendly, courteous and answered all my questions.  Purchasing this vehicle was seamless since I knew this is the vehicle I wanted.  The test drive was adequate and instructions on how to operate dashboard clear.  I would definitely recommend dealership to friends and family.",4.8,
245,10-Jan-17,"The Hyundai staff are very professional, friendly, and accommodating. They were patient in answering all my questions when browsing/test driving, at sales time, and after my car purchase. They found the exact vehicle I wanted at the price I expected to pay. Alex has also been very responsive in answering my questions as I slog through the manuals to learn about all the vehicle's features, and even offered in-person tutorials (which I may take him up on)!   If you research ahead of time, buying a new vehicle is a fairly painless process.",4.8,
251,31-Dec-16,This was an enjoyable experience. I met some very friendly people. There was no high pressure sales involved. I'm happy that I bought my car at this dealership.,4.8,
258,12-Dec-16,"THE BEST car buying experience ever!  The wife and I set out to specifically purchase either the Honda Civic or Hyundai Elantra. We went to Hyundai first, thinking we would end up with a Civic- but wanted to see what Hyundai had to offer. We did some internet research the day prior so we were a little familiar with both vehicles. We were greeted by Emmanuel Rodriguez shortly after browsing the lot. We were upfront with him and told him which two vehicles and dealerships we were considering and left it up to him to do his job- AND DID HE. We told him what features were important to us, and most importantly what price we wanted to be at (we had a check in hand so we were going to buy a car somewhere lol!) Emmanuel was EXTREMELY informative, patient, and most importantly honest. We left the dealership to head over to Honda- just for comparison, and the salesman didn't have us after 10 min. We called Emmanuel to tell him to send our new 2017 Elantra over to detail because we're coming back!   We're a military couple and we've had our share of vehicles over the years. But Emmanuel has to be the best salesman we've ever had the pleasure to work with. While he was preparing the paperwork and having the car cleaned and gassed up, we went over to PF Changs for lunch and even picked up lunch for Emmanuel (he likes the Mongolian platter). Overall, we are extremely satisfied with our purchase. There isn't a feature on that car we weren't shown. I'm not sure who's the manager or how long Emmanuel has been working there, but he needs to be recognized and rewarded. Everyone dreads going to dealerships because we need a car but don't want to feel like we're eskimo's buying snow- if you get what I mean. Very rarely does authenticity show up. We didn't buy the car, we bought into Manny. THANK YOU! Lita & Mike",4.8,
264,03-Dec-16,I had no problems with the dealsship. I would have preferred a Santa Fe Sport Extreme with the Extreme Technology package. However I couldn't find one.,4.8,
265,03-Dec-16,"Emmanuel was fun to work with. We really connected with him, as he was friendly and knew everything we needed to know. I'm confident that we got the best deal for the perfect car!",4.8,
271,24-Nov-16,"We had a great experience purchasing our 2017 Hyundai Santa Fe.   Our sales person Eric Becker was very helpful, answered all of our questions. Will recommend this dealership to our friends when they are ready to purchase a new vehicle.",4.8,
286,29-Oct-16,I had a very pleasant experience. It was my first time purchasing a car on my own and the salesmen were very helpful in explaining the whole process and financing and making surefforts I understood.,4.8,
287,28-Oct-16,"The salesman, Nelson  who helped me was the best, he went out of his way to meet my needs. I came in to buy a used car and left with a new car, so he did his job well. I am so happy with my purchase.",4.8,
289,26-Oct-16,It was a great experience I will never forget! I was able to joke with the staff and the price discussion was not stressful at all! It was comfortable and timely!,4.8,
301,05-Oct-16,"Usually, a car dealership experience is painful to say the least.  but my experience with North County Hyundai was quite pleasant.  Our sales rep was friendly, professional and very knowledgable about the vehicle.  The negation process was relatively smooth and I received fair treatment.  They washed the car, filled the tank with gas and delivered the Genesis to my door the very next day.  Great service and we loved our sales rep,...thanks Cody!",4.8,
315,24-Aug-16,"We missed out on both the Govt rebate of $10,000, but I think we got a good deal. I was disappointed we did not get the HOV sticker. Otherwise all went well.",4.8,
322,05-Aug-16,"I was dreading the ""game"" to buy my car but I actually felt comfortable there and not taken advantage of. Great staff at this location.",4.8,
325,29-Jul-16,"Service, selection and patience marks a few of the high quality standards represented here.  I am a repeat owner and will continue to patronize this dealership.",4.8,
327,27-Jul-16,"Salesman and Sales Manager were very willing and capable, finance was friendly and patient. Excellent experience from beginning to end.  Highly recommend North County Hyundai!",4.8,
349,29-Jun-16,When I decided to buy a car I wanted to buy another Hyundai.  I started to look in other Hyundai dealers but i did not find an answer to my questions. North County was very pleasant to answer me my questions and I appreciate it.,4.8,
353,23-Jun-16,Erik was an excellent salesperson. Very helpful and showed me everything about the vehicle. He took the time to explain all questions and made me feel comfortable about the purchase.,4.8,
361,09-Jun-16,"It was my first time buying a car and the sales staff at North County Hyundai were great. They were honest, straightforward and easy to work with in choosing the right vehicle at the right price. The paperwork was a little lengthy but all in all, great experience!",4.8,
362,06-Jun-16,Everyone was very helpful and patient.  Emanuel and Catherine were also very accommodating and pleasant to my sometimes overly critical father.  I would definitely recommend a Hyundai and this location.,4.8,
366,02-Jun-16,"Sales person was very proessional and freindly. Konwledgeable in regards to the vehicle characterestics and performance. Accounting department was very professional and freindly. SHe offered various financing options that were very affordable. Overall, I was very satisfied of the services and the condition of the vehicle that I purchased.",4.8,
372,18-May-16,"As mentioned before, we are completely satisfied with our new car and the process of buying it from the salesman Eric De Mello.  He  was meticulous and obliging.  We will be contacting him in the  future for more support when in need.  S Spicer (Sheldon & Shirl)",4.8,
383,01-May-16,North County Hyundai is a very nice place to purchase a new car. We have now purchased 4 vehicles there. We felt no pressure to buy and the sale went well.,4.8,
389,16-Apr-16,Happy to have worked out an agreeable lease.  Emmanuel did a very nice job of covering car features.  I was pleased to learn the deal includes two free car washes per month.  A nice benefit.,4.8,
390,14-Apr-16,Happy that our sales man and finance lady took the time to help us. I will be back for all service and I will refer family and friends.,4.8,
393,05-Apr-16,I was satisfied.. the experince was good and i will continue to do service with the north county hyndai dealership. I do not have anything negative to say.,4.8,
398,31-Mar-16,I had a very good experience. My sales associate was very kind and knowledgable. Felt very comfortable with this major purchase. I would recommend this dealership to anyone looking to purchase a Hyundai,4.8,
415,09-Feb-16,"THANKS TO EVERYONE FOR GETTING ME IN THE CAR I REALLY WANTED!! 
EVERYONE WAS VERY FRIENDLY. AND PUT UP WITH ME AND MY PARENTS SO WELL!!!",4.8,
425,07-Jan-16,"I originally came here just trying to kill some time to look at the new Genesis. I was greeted promptly when I arrived and let the salesman know I was strictly looking and not in the market to buy. I've seen the new Genesis on the road and wanted to come take a look at it and see it up close and personal. Emmanuel Rodriguez was extremely courteous and not pushy at all. He answer all the questions I had and opened up a couple different car so I could look and sit in them. Even though he knew I was not in the market to buy that day he asked if I wanted to take a car out for a test drive which I said yes too. While on the test right he did an amazing job of explaining all of the different features that the car had. Upon arriving back to the dealership he asked me if I wanted to take a look at the numbers to see what the car would cost. He went over the options of buying or leasing the car. I had absolutely no intentions on buying a car that day or every leasing a car my life but he did such an amazing job of explaining the numbers and finding a number that worked best for me that I ended up leaving with a car that day. 

I also decided to purchase the window tinting and paint and leather sealant from them as well. If you wait till you get to financing they will ask you if you're interested in it. They originally wanted $299 to tint on my windows but I ended up paying $288 to get my windows tinted and the paint and leather sealant. If you wait till you get to financing you can negotiate the price down!

Throughout the whole experience Emmanuel Rodriquez did an amazing job of listening and not being pushy. At the end of the day he help me get the numbers I was looking for and a new car that I didn't necessarily think I could afford to have. His enthusiasm and upbeat personality helped move along the process. If you're considering buying or leasing a Hyundai I highly recommend you go to Hyundai of Carlsbad and asked for Emmanuel Rodriguez!",4.8,
433,17-Dec-15,I'm on my 4th vehicle from North County Hyundai and have always had a great experience.  I have purchased two vehicles and leased two.  The salesforce is never pushy and is always friendly.  ,4.8,
439,04-Dec-15,This is my third time returning to the dealership.  I refuse to go to my local one.  They staff is always pleasant and the experience of buying a care is so much better with them.,4.8,
452,17-Oct-15,"Sales staff was friendly and attentive and not aggressive.
Got to test drive several cars and salesperson recommended the Tucson that I liked; price was a bit higher than I wanted to pay (because of extra features) but after incentives and trade-in and negotiation, I got it to the price I was hoping for.
So far the only minor issue is that at very slow speeds (<5mph), my 2016 Tucson stutters...I'll be asking about that next time I'm there.",4.8,
462,16-Sep-15,I bought my car from Hyundai because of Corey!  Corey should be promoted and teaching other salesman how to be like him.. buying a car without hassle is UNHEARD of… thank you Corey!,4.8,
463,13-Sep-15,"Emanuel my Salesperson was Knowledgeable and explained everything to me during my buying experience. He was professional and good hearted and made sure I received the right car  I was looking for. He demonstrated and explained all the car features that were needed to know at this stage of the process. Great JOB!
Carrie Mitchell my Finance Manger was TERRIFIC, she is a Great Asset to your Company. She made the paperwork part of buying a car very simple and quick, yet I was able to understand the process.. Your two Employees' that worked with me made the sale happen and made me a very satisfied customer. THUMBS UP to both of THEM!",4.8,
467,09-Sep-15,"The title should tell you enough about how great the car buying experience is here. I was helped in a timely fashion, and my salesman was able to relate to my situation very well and give me a selection of cars that fit my need. I can't be happier with my purchase",4.8,
474,25-Aug-15,"BUYING A NEW CAR IS LIKE ADDING A NEW MEMBER TO YOUR FAMILY. NO COUNTY HYUNDAI MADE THE EXPERIENCE
VERY PLEASANT INDEED. IT WAS LIKE TAKING OUR NEW ""BABY"" HOME TO ENJOY FOR MANY YEARS AHEAD.",4.8,
478,15-Aug-15,"Our sales consultant Emanuel was great. I've dealt with a lot of car salesmen over the years and Emanuel was probably the nicest we've ever had. He was polite, knowledgeable and very  patient with our very active 7 yr old son. I think he went above and beyond what was expected,
We would gladly work with him again.",4.8,
489,28-Jul-15,"We went to Hyundai to explore the possibility of a new vehicle.  It was pouring rain and Eric met us in the parking lot with an umbrella and a great smile.  He took us through the showroom, introduced us to the different options of vehicles and answered all our questions.  We hadn't thought we would make a decision that day, but the experience was wonderful and the deal was one we couldn't walk away from.",4.8,
495,15-Jul-15,The Service Department and especially Tom have made my visits pleasant and I feel I get great service for me and my car.  The service I have received played a large part in my decision to buy a new car at North County Hyundai.,4.8,
1,28-Jul-18,"Alex Peterson did everything to make sure I walked away with a car the day of, great service, really appreciate the dealership period for getting it done, great car, great deal, and great customer service 10/10 recommend.",5,
3,16-Apr-18,"I give 5 stars for my  experience in  searching, test-driving and ending by leasing my Huynday 2918 Kona in the Huynday Dealer Carlsbad. John Wilterding made my experience and leasing very smooth and pleasant without any pressure or pushing sales,  plus he let me to do the test drive in all the models I was interested in without showing any annoyance and also took me to see all the colors and features of  the model I wanted over again before I close the deal, to be sure I was 100% satisfied  . He is very acknowledged about all Hiunday’s car models and its features and answers all kind of question with simpathy and patience. I m very satisfied till now with my new car choice Kona Ultimate 2018 and sales person service! ",5,
4,23-Dec-17,My cars Awesome!!! I'm very Happy!! I bought what I wanted w no Pressure to Upgrade!!Thank You & Happy New Year ya all!!!! And again I live my little car!!,5,
6,16-Dec-17,As always I was extremely pleased with the level of service and friendliness that north county Hyundai has always provided me during vehicle purchases and service.,5,
8,14-Dec-17,"I began researching cars on Thanksgiving weekend. I was going back and forth on a used car and new car. Finally, my mechanic recommended a new car so I began the search for a quality and affordable sedan. I decided on a 2018 Hyundai Elantra SEL and started shopping for different prices. I submitted an application to get pre-approved for financing on the morning of 12/3 and within 10 minutes, Alex contacted me. He was super friendly and knowledgeable. I went to test drive the car that afternoon and loved it! When we were discussing the price we realized that the website had an error on the discount and they worked to help get the cost as close to the advertised price. They priced it 1000 lower than Kearney so I decided to maintain my purchase at Carlsbad, even though Kearney was closest to me. Alex did not pressure me to add items onto the car and gave me the confidence and assurance that I was purchasing the right car for me. I had taken my boyfriend with me because I had been warned that when women go to the dealership by ourselves they may be taken advantage of - this is also the reason I did extensive research prior to going to any dealership. However, I have no doubt that had I gone on my own I still would have received the same excellent, honest and dignified service from Alex. I am definitely referring people who are looking for a new car.",5,
11,12-Dec-17,"I recently purchased a new Hyundai Tucson and from start to finish, the buying experience at North County Hyundai was easy and quick!  The entire team was professional, attentive and extremely easy to work with. I'll definitely be back in the future should I need another car.",5,
12,07-Dec-17,Hyundai staff were very pleasant to work with. They were very patient while I decided to finally purchase. After signing all the paper I felt very relieved. The process did not take to long which I liked.,5,
16,30-Nov-17,"I received exceptional service from North County Hyundai. They had the car I was interest in waiting for me at the time of my appointment. It took less than two hours to test drive the car, return my current leased Elantra, and lease the new Elantra. It was one of the smoothest experiences I have had at a dealership.",5,
17,30-Nov-17,"Purchased our second vehicle from them. Once again received excellent and professional service. I live out of the area, if not I would also trust them to do all my routine maintenance. Definitely recommend them!",5,
19,23-Nov-17,"I was able to find the car online and discuss pring via email, the had a great deal so i went to the dealership and purchased the car for the agreed price.",5,
20,22-Nov-17,Great car buying experience. We are repeat customers and really love Hyundai. Looking forward to driving my new Elantra. Love the new features that came with the car.,5,
22,20-Nov-17,I am pleased with my purchase and the entire process thank you Christian was great and I love My car very much happy with the choice,5,
23,17-Nov-17,Buying a car was easy and pressure free. Everyone was professional and there were no hidden fees or extraneous xxxxxxxx. Great experience and it was easy to purchase a vehicle. .,5,
25,16-Nov-17,Everything was awesome! I’m so happy with my new car and the whole Hyundai expierence. I actually Enjoyed buying a car this time around.,5,
26,15-Nov-17,"My experience at this dealership was amazing, Alex took the time to understand what I was looking for and the price I needed to stay under. The overall customer service was amazing and well above my expectations",5,
27,14-Nov-17,"Excellent service! I gave Alex my price range what type of car and color. In no time I was test driving my new car. Went to finance, no problems there. (I forget her name but she was so nice.) Overall, I had a great experience at Hyundai and will be recommending to friends and family.",5,
28,12-Nov-17,My family has bought 2 cars through North County Hyundai in the past 2 months and will most like but another one from them within the next year. We drive out of our way (55 miles) rather than buying local because the straight forward and positive experience is worth it.,5,
30,10-Nov-17,"We were in the market for a plug-in hybrid and had narrowed our choice to a Hyundai Sonata or Toyota Prius Prime.  We visited both dealerships multiple times, including two test drives for each.  Although we fully expected to purchase the Prius, we ended up selecting the Sonata!  It was a great dealer experience, and we were not pressured, although everyone was very informative and response.  We have our car, and so far we absolutely love it!",5,
31,09-Nov-17,Staff were amazingly friendly and professional. Josh was very classy and nice and Katherine was very honest and friendly and professional...I highly recommend this dealership to everyone who is looking for a new vehicle...,5,
33,09-Nov-17,Had s great time purchasing our car The dealership was great and chad did a great job answered all our questions And made it very easy,5,
34,02-Nov-17,I bought a hundai veloster and am very happy with it.  It is sporty and has a smooth drive. I love driving it around town.  That leather feels like butter!,5,
35,02-Nov-17,"My experience at North County Hyundai was extremely favorable.  My salesperson, Joshua Jamison, was knowledgeable, no pressure, friendly, and professional.  You have a customer for life - I will tell my family and friends!",5,
37,01-Nov-17,I got an amazingly good deal on a leased 2018 Hyundai Sonata and I am extremely happy with this car. The people here are very nice and helpful and I highly recommend this place to everyone.,5,
38,29-Oct-17,Felt that my car buying experience was different and better then it has ever been. Aron made me feel very educated in every car I was looking at and I left feeling like I found the best deal and the best car for me.,5,
39,26-Oct-17,Emanuel was fantastic! New so much about the cars and made sure I walked out with the best deal he could get me! So grateful for the amazing car buying experience!,5,
41,24-Oct-17,"Aron Sanchez of North County Hyundai went above and beyond getting me set up with my Santa Fe. He was professional and courteous and made the whole process easy. I had been to another dealership (not Hyundai) earlier in the day and found the sales staff there to be a little arrogant and unprofessional. It was very easy to decide against leasing from them after talking with Aron and the whole team. Overall, I had a great experience.",5,
43,19-Oct-17,We had a great time working with Josh to find the car that was right for us. He was never pushy or aggressive and always receptive to our desires.,5,
45,18-Oct-17,"CODY DIDYOUNG MADE MY BUYING EXPERIENCE WELL WORTH THE VISIT. LOOKING FORWARD TO MY NEXT BUYING EXPERIENCE. LOOKING TO BUY A HYUNDAI IN THE FUTURE BASED ON YOU GREAT WARRANTY, SERVICE , AS IT WAS VERY CUSTOMER FRIENDLY. THANK YOU!",5,
46,16-Oct-17,I had a great experience and was helped to my my satisfaction. I love my car and have never had a bad experience with Hyundai. The staff is always helpful and engaging with me.,5,
48,12-Oct-17,Very professional and kind. I live in San Diego and this is the 2nd time I've purchased a car from this dealer which is out of my area.,5,
52,07-Oct-17,"Suffice to say, in my purchase experience, it was  seemingly  expeditious and somewhat  low pressure but   with significantly enough knowledge and attention (by Joe Murray, Thank You!) to entice the sale! :-)",5,
54,29-Sep-17,"Great buying experience, I had 10,000 questions and Josh answered all of them. As a young female, purchasing cars from dealerships can often be a negative experience feeling taken advantage of. I was treated with respect and Hyundai was by far the best experience of the 15 other dealerships I went to.",5,
56,26-Sep-17,"Alex Peterson was friendly, professional, did a great job, and had great followup!  I would definitely recommend him and his dealership to my friends and business associates.",5,
58,21-Sep-17,Josh helped me through the buying process in a very professional and experienced manner and actually made the buying process fun.  I would go back to use his services for my next purchase.,5,
59,21-Sep-17,Thank you for helping my daughter and I find a suitable vehicle for our needs. As a single mother I really needed a larger and safer vehicle for myself and my daughter.,5,
60,20-Sep-17,"Joe Murray and Katherine Alvarez were both very considerate and professional during the whole process of test driving, learning about and purchasing my new vehicle. I look forward to driving my Elantra for many years to come. Thanks Joe & Katherine!!",5,
61,20-Sep-17,Great customer service. Alex was very informative. My wife and I will definitely recommend this dealership. I'm also excited to use the dealership for services to my new Sante fe.,5,
62,19-Sep-17,"My wife were looking at Range Rover to replace her 2014 just happened to stop at Genesis. I had a friend that has one and said I should look. I am used to paying more than 100,000 for a car. This feels like a steal. Great car. My wife loves it.",5,
63,19-Sep-17,I had been to a few dealerships before coming to North Country Hyundai and they surpassed them all. Everyone working there was so friendly and helpful and excited to get me into a vehicle that I loved. They were knowledgable of their inventory and worked efficiently to ensure my happiness and respect my time. Cody was excellent and delivered my car to me as soon as possible as the service department was closed the day I bought my new car. Thank you for your excellence and great attitudes throughout the entire process!,5,
64,18-Sep-17,Emanuel made purchasing my Elantra a very enjoyable experience.  He is professional and personable and has the right amount of humor that made me feel at ease.  He treated my daughter and I with the utmost respect.  The next day he called and asked me if I had any questions and to feel free to call him if I had questions or concerns.  He is exceptional!!,5,
65,16-Sep-17,"Cody was a great rep. He helped me considerably. I originally was interested in the ioniq, but was uncomfortable with the price. He showed me my elantra and offered a great price and i couldnt be happier",5,
66,14-Sep-17,We were very satisfied with the service. He was very knowledgeable about the different models and what they offered and helped us find the right car for our needs.,5,
67,12-Sep-17,I had a very pleasant experience buying my Tucson. The salesman josh was knowledgeable and not at all pushy. I feel I got a good price too. Very happy I,5,
68,09-Sep-17,Loved working with our sales associates. They were professional yet not overbearing. The buying process was more streamlined than with our Subaru purchase four months earlier.,5,
69,07-Sep-17,Emanuel was a fantastic sales person. He immediately greeted me as soon as I walked in the door and he lead me straight to the car that I wanted and purchased at the end of the night! It was overall a great experience there.,5,
70,02-Sep-17,"I'm very impressed with the differences between the 2013 and 2017 models.  Outwardly they appear the same, however the electronic features are really impressive.  We bought the vehicle in a big hurry in one afternoon and need to go over some features of the vehicle's navigation system with our sales person in a week or so.",5,
71,02-Sep-17,Negotiated everything online and over the phone- super easy and everything was as promised when I arrived. I have been buying cars for 30 years and this was the quickest experience I have had yet.,5,
72,31-Aug-17,The time spent purchasing my new Ioniq was very pleasant and took far less time than anticipated. Christian went above my expectation to make sure I was comfortable and understood all the bells and whistles.,5,
73,31-Aug-17,Everything went very well with our purchase. The salesman and management were very friendly and knowledgeable and answered any questions that we had quickly and thoroughly. We enjoyed our purchase experience and plan to use them again in the future.,5,
74,31-Aug-17,If you are in need of a new vehicle I would recommend the dealership at North County Hyundai in Carlsbad They are professionals and Todd and Emanuel Rodrigues are very helpful and know their products,5,
75,30-Aug-17,"Alex Peterson was excellent in getting us into a new Tuscon and getting us out of a Sonata which had negative equity. Got us in and out very nicely and we love the car. Alex is a very considerate sales person who showed he cared about our situation and not just worried about ""making a sale""",5,
76,28-Aug-17,An Excellent experience purchasing my new Genesis G80 at North County Hyundai. I will recommend this dealer to friends and family. The sales person was courteous and professional.,5,
77,25-Aug-17,"Alex was very helpful and knew about the hybrid Sonata. No pressure from anyone, we enjoyed it. Great car and very good dealer, so very helpful.",5,
79,21-Aug-17,Alex at Hyundai was very helpful and was able to help me figure out the most practical car for my situation. He was flexible with my options and friendly. Carrie in the financial department was also great and friendly with us as well.,5,
80,19-Aug-17,Smooth. No nonsense.  No pressure. Traded in my Sentra and drove out w an Elantra.  Felt no pressure.  Financing went smoothly.  I recommend this dealership.,5,
81,19-Aug-17,Great experience at Hyundai. Would definitely buy again. Happy to be a part of the Hyundai family and would recommend the dealership to all of my Friends and family.,5,
82,19-Aug-17,"I had an amazing, thorough, and easy experience. Emmanuel was very patient in answering all of my questions, and made my first car purchase more than I had expected.",5,
83,18-Aug-17,"Call for price quote, not planning to purchase at that time. Presented with a great deal, super helpful salesman Chad,  couldn't pass it up. Chad was not pushy at all, patiently explained all the features.  Was nervous to go into the dealer by myself, but the staff made it a great experience. Carrie did a great job with the paperwork. I felt totally at ease. Looking forward to going back.",5,
84,17-Aug-17,"Very satisfied with this dealership.  The staff was helpful and professional, no high pressure.  The salesman knew excactly what I wanted, and directed me to the right vehicle.",5,
85,10-Aug-17,Our experience with this dealership was fabulous.  We lost our beloved 2015 Sonata Sport in a car accident in June  and my husband is still recovering so it was a hardship on him to car shop.  Your staff was so kind and understanding even when I changed my car selection and went that extra mile to please us.  The service dept. is the best we have ever experienced.  We thank everyone involved and highly recommend you to all of our family and friends.,5,
86,08-Aug-17,Christian exceded my expectation. He was very profesional and easygoing person at the same time. Thanks Christian for all your attention. The price could be better but still is Ok.,5,
87,03-Aug-17,The dealership and the online sales manager helped me through every stage and privided me with all the information I would need to know about my car.,5,
88,01-Aug-17,"Salesman Chad was excellent. Friendly, knowledgable and courteous. The woman in finance was equally excellent at her job and quite friendly, sorry I don't remember her name. I will recommend the dealership to friends and family.",5,
89,19-Jul-17,"Dealership staff was professional, helpful and straight forward. Staff was willing to listen, understand and negotiate until reaching a satisfying agreement. Overall, it was a good experience for me.",5,
90,18-Jul-17,"Ross, Cody, and Aaron were all great and friendly in my first car buying experience.  They were very forthright and helpful in getting me what I needed in a vehicle.",5,
91,18-Jul-17,Informative and worked through everything in a workman like professional manner. Gave a reasonable value for trade in prior to structuring full deal. Good overall experience,5,
93,15-Jul-17,The employees at the dealership took the time to listen to what I wanted and needed.  There is no pressure no pushy salesman experience whatsoever.  I definitely would recommend this dealership and ask for Emanyel.,5,
94,13-Jul-17,"I had been driving my last car for 14 years and desperately needed an update and upgrade! Carlsbad Hyundai's staff did just that for me! If you are looking for a positive change in your car choice, I would highly recommend stopping by Carlsbad Hyundai and let Aron take care of you!!",5,
95,12-Jul-17,"An absolute great experience. Our salesman Cody was professional, well educated in all aspects of the Elantra, upgrades, and just provided me information. No pressure...he gave me my options and waited patiently for me to decide what was best for me and what I could afford. After reviewing the benefits of some of the options I opted to upgrade one level. I love the backup cam, aluminum rims, hands free calling and radio for a small increase in price. I walked out the door yesterday and almost tried to open my neighbor's BMW as they look alike. Driving this vehicle is a dream, you can't hear anything but your radio, it has awesome power when put in sport mode and a spacious interior. The final perk is two car washes per month. All you have to do is drive up to their service area, give the service man your keys, kick back and drink a free cup of gourmet coffee and they bring your hand washed car back to you. Have work to do bring your laptop and enjoy the free wifi while drinking your coffee. I do not write reviews often but the service at this dealership I received warrants five stars!",5,
100,06-Jul-17,"Outstanding service, product knowledge, and never felt coerced into buying anything.  All decisions were left up to me.  Also, a very fair price on my trade-in.",5,
101,06-Jul-17,"Great Company there the BEST, I would definatley recommend. They have been great in the past and are still a great Company.I have been with them for 8 years, and will stay with them in the future.",5,
103,06-Jul-17,Alex Peterson did an outstanding job during our car buying experience. Our car buying experience was the best we have ever had. I will definitely recommend North County Hyundai to my friends and associates.,5,
104,06-Jul-17,"From internet start to drive-off finish, North County Hyundai performed flawlessly for us.  NCH had a large inventory of the new G80 Sport that we had already thoroughly researched and had decided to be our next Genesis (our 3rd) and they had a vehicle with the exact color combination and features that we wanted.  Our lease was negotiated before ever visiting NCH; Alex Peterson respected our approach to vehicle research and acquisition and worked hard to arrive at the lease terms that we had targeted.  Carrie Mitchell executed the leasing paperwork flawlessly to get us on the road in record time.  This was our first time working with North County Hyundai and we suspect it will not be our last.",5,
105,05-Jul-17,The car and dealership have made us very happy.  We know that should we need anything all we have to do is call. We love our new car.,5,
108,03-Jul-17,Great experience  . Salesman and manager were professional and informed. The dealership had the vehicle I wanted and offered a fair price for it and my tradein.,5,
109,02-Jul-17,very good experience .. Finance staff were excellent At all times I was looked after and kept informed of the next stage .. We  were there quite a long time And were offered  and enjoyed coffee.   Altogether a very pleasant experience .. we will return .,5,
110,29-Jun-17,I have been waiting for the release of the new Genisis G80 Sport model for over 6 months. I am glad I waited as I almost purchased another car since my car was in dire need of some repairs. My patience paid off!,5,
112,24-Jun-17,This is my third Hyundai.  Robert Wilson and the sales team are great and very satisfied with my new Santa Fe.  Nice to have a sales team that doesn't pressure you and takes the time to make sure you are happy!,5,
114,22-Jun-17,"After local dealer seemed not interested in selling or leasing, I drove to North County Hyundai where the attitude was totally different.  The salesman said their job was to make things work for me.  And they did.  They respected my budgetary restraints (fixed income) and I left in two hours with a new Tucson.  My new payments are actually just under what I expected, and the whole process went very smoothly.  I am a very happy customer",5,
115,20-Jun-17,Shop at North County Hyundai first before going any place else for a new car.  You will find that the sales staff is totally knowledgeable as to their products and most helpful in providing you with the information you need to make an informed decision before you commit to buying.,5,
116,20-Jun-17,"Recently purchased an Elantra for our daughter's first car. Could not be happier with price point, reliability and all the safety features. The technology in the vehicle rivals our Audi.",5,
117,16-Jun-17,"We really enjoyed our buying experience with Alex at north county Hyundai.  The price was the best we found in San Diego county, and my wife loves her new electric blue Hyundai Elantra .",5,
118,16-Jun-17,The experience I had at NC Hyundai of Carlsbad was excellent.  Christian Alvarez was a pleasure to deal with and Catherine in Finance was awesome.  They made buying my new Sonata a great experience and the car is a great value!,5,
119,16-Jun-17,"I hate buying vehicles and dealing with the headache it comes with, but the great team made it simple and was straight forward with everything. They worked with me to get the best deal.",5,
120,16-Jun-17,I had a great experience and was able to get in and out in as quick a turnaround time as I have ever had in buying a car. I come prepared which helps on the research side so I just want the transactional side to be as fast as possible and it was. Thank you,5,
