,Date,Reviews,Ratings,Label
979,11-Dec-15,Expirence was great..also i like the dealership atmosphere...a lot of friendly people at Capital Hyundai..i couldn't of happier when i got to the dealorship they had starbucks coffe yes.,4.8,
1018,03-Nov-15,I had a good experience. I know they probably got annoyed with me showing up 3 days in a row since I was car shopping haha. Way better then Honda who I was originally going to go with until they were very rude and I went to Hyundai know I would have a better experience!,4.8,
1044,02-Oct-15,"Great experience.  Low pressure, attentive and patient.  I wanted a specific color of Sonata that the dealer didn't have and they found the only one in Northern California and acquired it in two days!  Love the car!  It's fantastic!",4.8,
1045,02-Oct-15,Steven and Amy are awesome! I was a first time buyer and they definitetly guided me through this process with out confusion or worries of being ripped off as other dealerships would. Highly recommend this specific dealership and its amazing staff and deals. ,4.8,
1055,24-Sep-15,"I like recommend this dealer, when you need a good price for a brand new car and good deal, ask for Ruben and Nicholas Thomas ",4.8,
1084,24-Aug-15, The staff was very attentive and offered wonderful customer service. I am a happy customer  and would definitely recommend this dealership to any potential buyer.,4.8,
1106,17-Jul-15,"VERY PLEASANT experience ,Mannie is a great sales person not pushy at all and very informative. Thank you Mannie will be back here for a next car.",4.8,
1110,14-Jul-15,I am very satisfied with my purchase and the staff was friendly and very helper towards the decision I was going to make for my first car. ,4.8,
1114,07-Jul-15,Everyone at the Hyundai Capitol was helpful and friendly with my first car purchase. They were informative and never pushed me towards the purchase or any other services. Overall I felt satisfied with the experience. ,4.8,
1,25-Sep-18,"My wife's Elantra had a left rear flat tire.  She initially drove it to Capitol Hyundai (CH) to see if they could fix the flat.  The greeter (Jerry I think; very friendly person) said he would put air in the tire as he did not see any nails or other visible factors that might be causing the flat.  My wife then went home.  The next morning we immediately noticed a very flat (same) tire on her Elantra.  She called our roadside service company and they came and changed out the tire.  We brought the flat tire to CH and was immediately received by Jonathan M. He too didn't see any visible nails or objects but stated we could leave the car and he assured us he would do his best to get the car back to us the same day or early the next day.  We left the car and about 30 minutes later he calls me and said after conducting some tests they (technicians) determined that there was a very small piece of metal lodged deep in the tire, causing it to leak.  Because it was late in the day, Jonathan said the car was ready for pick up and he would wait a few minutes until we picked up the car.  He also knew we were down one car and he assured us the car would be ready.  Once we retrieved our car, he greeted us with that same warm smile and explained in detail what the trouble was and what they did about it.  More importantly (and past experience), mechanics and dealerships usually talk to you like you already know what the problem is and it is implied that you understand what ""they"" are talking about.  My wife and I did not feel that way at all because he broke it down in layman's terms.  As a customer, this is all we could ask for.  A very pleasant experience whenever we go to CH.  Thanks team!",5,
3,26-Apr-18,"I recommend you go and talk to Jason Rinella, very knowledgeable and easy to work with, very professional in all aspects. If you are looking for a smooth and easy experience with buying a car, look no further, Jason Rinella at Capitol Hyundai will make your experience the best.",5,
7,24-Dec-17,I had a good experience in buying the Hyundai car from the Capitol Hyundai. I really recommend others for this dealership for next purchases. Lets hope for the best services too.,5,
8,24-Dec-17,Thank you for the best quality cars you design and manufacture and for the excellent service and maintenance that you offer to your customers.  Robert Kenoun,5,
9,24-Dec-17,I am happy with the service and time spent at the dealership and will recommend to friends. The length of time to process the paper work was just right since I have visited the dealership toward the end of the day.,5,
10,24-Dec-17,"If you need a Hyundai and like excellent pricing and service, look no further than Capitol Hyundai! And this is coming from someone who sold cars for a living at a few dealers himself.",5,
13,23-Dec-17,Casey Wilson was nice and patient. He did what I needed done to get me in the car I wanted. Fast and fun experience. I would most definitely return to Capital Hyundai.,5,
14,23-Dec-17,Helped me acquire my dream car. It was meant for me to arrive that day to ask for my car. I hope my future vehicle will go as smoothly as well,5,
15,20-Dec-17,"Yasmin was so kind and professional.  She answered all my questions with patience, was so helpful, and she provided me the best service I have ever  experienced . For sure I will recommend Capitol Hyundai and specially Yasmin as the best and then most helpful seller  to my friends.  Thank you Yasmin",5,
16,20-Dec-17,It was a experience. Would recommend to others. Didn’t feel pushed to buy the car. Felt comfortable the whole time. And my needs to were meet,5,
17,17-Dec-17,"I purchased a 2018 Genesis G90 Ultimate from the Sales Team of Elwira and Yasmin, and they were tremendous. Excellent product knowledge, test drive, demonstration of the plethora of features on this car. Service, Valet, Connection Services were all explained and /or demonstrated as well as the astonishing features of the car. Abdul in Finance was splendid. I have been a General Sales Manager at a Mercedes dealership and a Honda dealership so I know the business--and the entire team at Capital Genesis, including the Service folks were great. And the price was right. My highest recommendation for this team at Capitol Genesis. AND THE CAR IS SUPERB!!",5,
20,15-Dec-17,"I would recommend my friends buying new Hyundai 2018, which is reasonable price and good quality. 1) Great electrical performance. 2) Exterior body in good shape.",5,
22,14-Dec-17,Had a good time buying the car from this dealer. Great sales people and good price match. Need to focus on explaining the vehicle features more better though.,5,
23,14-Dec-17,Great customer service and went above and beyond to help! Definitely would recommend to anyone looking for a dealership. They answered all my questions without making me feel like “I’m asking ok much”,5,
24,13-Dec-17,A new & different kind of dealership. Vibrant place that's super personalities everyone made me feel very special and well taken care of I felt important,5,
25,13-Dec-17,"My sales rep, Simmon Wong was very professional, knew the Genesis G80 features well and presented and closed the deal in a very professional manner, in all a very pleasant car buying experience.",5,
28,12-Dec-17,Excellent customer service.  The whole purchase experience without any hassle. Staffs are friendly and knowledgeable.  Questions are responded quickly after purchase.  Minor issues are also resolved quickly.,5,
29,12-Dec-17,"I have been thinking to buy a new car for a while. I went to Capitol Hyundai to see the cars and prices. Their staffs are very helpful to find the best car with the best price for you. Finally, I have my 2018 ELANTRA and I really like my car. Thanks again, regards.",5,
30,12-Dec-17,Adam Ischia was very professional and did a great job in helping us make the right choice. He explained everything we needed to know about our 2018 Sonata .,5,
31,12-Dec-17,"I would highly recommend DGDG to anybody that likes and wants a ""Happy"" buying experience! The salesman (Aaron Ulrich) was great to work with. He didn't pressure me into anything and was very patient with my wants and needs. I was offered a fair deal on my trade in which also made the buying experience easy and effortless.",5,
33,09-Dec-17,great customer service and car shopping experience. would purchase again from this dealership and recommend to others. was able to make a fair vehicle trade in and price for the new car.,5,
34,08-Dec-17,"My family and I were promptly greeted Tommy Tran. We found out that the Ioniq EV we had come to see wasn't available yet, but Tommy asked us about what we were looking for (commuter car, carpool lane access) and told us about the Sonata Plug-in Hybrid, which hadn't even been on my radar. We got to test drive the car within minutes, and he let both me and my dad take turns.  When I wanted more time to think and do research (because I hadn't even been considering hybrids), he wasn't pushy about us going home and coming back the next weekend. He sent emails/texts during the week to answer any questions I had (especially about the lease terms/accident coverage).  When we came back the next weekend, he was ready to help us out, and we were able to come to an agreement quickly thanks to the No-Brainer Pricing.  The only imperfect part of the experience was the long wait for the finance manager to pay for the lease and hammer out the terms of the lease. We were also surprised by the turn-in fee due at the end of the lease, which I didn't think I'd heard about before talking to the finance manager.  But our actual experience with Sarn Saefong was excellent. He was very professional and good at explaining confusing parts of the contract. I didn't feel rushed at all; he walked through the different options as many times as I needed to choose things like a maintenance plan and wear/tear coverage.  The car was very clean when we got to it after the finance meeting/paying the downpayment. We got to drive it off the lot right there.  This was a great experience. I liked Tommy & Sarn, and I felt that I got a really good deal. After driving the Sonata Plug-in Hybrid for several weeks now, I don't regret the lease at all. It's a really great car. Thank you, Capitol Hyundai!",5,
35,08-Dec-17,Best experience buying a new car I’ve ever been through. Financing process was smooth and he was very informative with alternate financing options that I qualified for.,5,
37,07-Dec-17,Was a very satisfied customer will definitely tell others about Hyundai and definitely purchase another car down the road and will definitely tell all my friends and family,5,
38,07-Dec-17,"We have purchased 3 cars from Casey Wilson and my wife will not deal with anyone else.  Professional, knowledgeable, and no pressure sales approach.  We'll be back in the future.",5,
40,07-Dec-17,"I was very happy with my service of my 2012 Equus. I was not so Happy with the service appointment system of my 2015 Sonata Very difficult to get Oil changes. Service center did not appear large enough to service all the cars the dealer sells, I really enjoyed the performance of my Sonata.  Great power, and handled better than the Equus. I was sad to learn that my service rep is no longer with the company.  Thanks Wayne!!   Steve Yee gives me straight forward information to allow me to make the decision to purchase the three cars I have leased from DGDG",5,
41,06-Dec-17,"Want to thanks Tommy and Steve for all their help i am so happy with the deal and the price of the car, will recommend you for sure",5,
42,04-Dec-17,I had a great experience with the friendly staff of Capital Hyundai.  The experience was quick and streamlined.  I would definitely recommend to friends and family.,5,
43,02-Dec-17,"Purchasing a car at this dealership was fast and simple, with friendly and knowledgeable staff. It is what buying a car should be about, a great experience! I recommend anyone looking to buy a car, MUST visit this dealership before any other!",5,
45,02-Dec-17,Elwira Wilczynska is the reason I purchased my 2018 Hyundai Elantra. She is the most pleasant salesperson I have ever dealt with. She made it an absolute pleasure to buy my new car.  Thhank you,5,
47,30-Nov-17,"Every Staff Member with whom I interacted was professional, friendly, committed to exceed my expectation during the car buying process. I have nothing but wonderful things to say about those who made my experience so stress-free and easy.  Many thanks!",5,
48,30-Nov-17,I am a very happy car buyer... love the service at Capitol Hyundai. Jasmin Kalilinejad was absolutely amazing... she is such a kind person as she walked me through my buying process with so much understanding and patience. Thank you so much Andrew Ballerini for the test drive.,5,
49,30-Nov-17,"We came to this location because we had found great deals on the internet, and it was just as advertised! Many great looking cars available.  Dillon Potter was very friendly and approachable, non-aggressive and helpful.  He offered us his knowledge and patiently helped us explore the different models, and test drive.  He was upfront and clear every step of the way.  The trade-in process was unexpectedly smooth and painless.  Really simple, and we felt that we had received a very good value for our old car and new.  Dillon easily focused on understanding our needs, worked out the package that more than satisfied us and made us extremely happy.  We very much enjoyed car shopping here, and would highly recommend.  Love the car!  Thanks Dillon!",5,
50,30-Nov-17,"We have tried to find a car in the mid-size SUV segment and tried different ones before we came to Capitol Hyundai. We were immediately greeted by nice person and just after a few questions we were near the car that we were looking for. All the questions were asked and answered. The purchase process was smooth. In the total, it was very good experience.",5,
51,30-Nov-17,Casey was great to work with. He helped me find the right vehicle and get me set up quickly. He was never rude or condescending to me (unlike like my experience when buying my first car at ford).  He was knowledgeable and never pushy. Casey was great and I will likely be back when it's time for an upgrade.,5,
52,30-Nov-17,"My experience at Hyundai went really well, everyone was super friendly. I would definitely recommend friends and family to go here when they need a car",5,
53,29-Nov-17,It was really good experience to deal with him since it was my first time to lease in the US. I would like to buy anther car for my wife soon. Thank you.,5,
55,28-Nov-17,I came into the CAPITOL HYUNDAI with clear and specific needs for my car. Faye and the team worked perfectly to meet all the my needs. The efficiency of whole deal is also so impressive. This is absolutely the best buying experience I have ever. I would recommend this dealer to all my friends!,5,
56,26-Nov-17,"John Nava was great to work with and took care of us and has followed up to see if we needed anything.   All in all it turned out to be a very pleasant Car Buying experience.    I would definitely refer Capital Hyundai to any of my friends, family or colleagues.",5,
57,25-Nov-17,"Great buying experience, excellent follow-up, broad inventory and knowledgeable people. This is my 3rd Genesis with the 5.0 engine and this one has AWD. This dealer had the best and broadest inventory in the SF Bay Area.",5,
58,24-Nov-17,"Financial manager helped us how we can afford the payment ..........,,,,,,,, Dealer answered all our questions... Hope the contract for lease was explained more.. Like if it go over the allotted mileage..I have to pay...",5,
61,18-Nov-17,"I test drove at least 5 different kinds of cars, both luxury and entry level. While I prefer the stick shift models, I am happy with my Sonata Sport trim on my new car. I really like all the electronic features and the smooth operation of my new car.",5,
62,17-Nov-17,Great sales team and salesman Kenneth. I love my Hyundai Santa Fee Sport. Capitol Hyundai is an awesome place to buy your first or next vehicle. They will treat you great!,5,
63,17-Nov-17,The best experience I’ve encountered in buying a car.  Thank you for the great service!  Would definitely recommend to friends and family and anyone looking to buy a vehicle.,5,
64,16-Nov-17,"Great experience at Capitol Hyundai in San Jose ,Ca . I searched for a vehicle online  found one I liked . Emailed Jason  Rinella  the Internet Manager  had a great time and very happy with the new Tucson",5,
65,16-Nov-17,"It took us almost 2 weeks to close the deal on the Ioniq.  There were competing models and offers from various dealers.  Through it all, Yasmin worked hard  everyday to keep Capitol Hyundai relevant and on our radar.  Also, when we arrived in the showroom, Yasmin was courteous and never pushy.  She communicated with us clearly and involved her manager in the negotiation.  This is our first experience with Hyundai.",5,
67,16-Nov-17,The staff here was very friendly. They have a large selection of vehicles. The buying process was very quick and easy with this great staff. The salesman was upfront with the pricing and wanted to get me the best deal possible. It was very refreshing compared with other dealerships I have been to in the past.,5,
68,14-Nov-17,Service was amazing! Employee was super helpful. Definitely would  recommend this employee. Tommy was Super nice and energetic. Very comfortable to be around with and easy to talk too.,5,
69,11-Nov-17,"Faye did a great job. She was very friendly, professional and honest. We felt she was very considerate and didn't try to sell us things that weren't ask. She was very honest and trusted.",5,
71,10-Nov-17,Excellent customer service and commitment to helping me the right auto for my very specific needs. Knowledgeable about many brands and features.  Helped me make the perf4ct choice for me.  I'm so happy with my Sonata!,5,
72,09-Nov-17,"Staff at Capitol Hyundai were acted very professionally. Specially the sales person helping me 'Anthony Martinez"" was extremely helpful. I will recommend this dealership and the salesperson I work with to my friends and familly",5,
73,09-Nov-17,"Had an excellent experience working with product specialist John Nava. Please appreciate him internally. He deserves it. Also, Jessica Galvez who helped co-ordinate the entire purchase from the beginning.",5,
74,09-Nov-17,"Awesome staff, they did an awesome job to satisfy my expectations in what I was looking for. Quick and easy deliverance of my car. Very friendly, met my needs to give me the best price for my car. Definitely will be back to purchase future vehicles",5,
75,08-Nov-17,"Overall, I had a straightforward, no-hassle experience at Capitol Hyundai. Elwira, Steven, Simmon and Ryan were very helpful (and cheerful!) throughout the whole process.",5,
76,07-Nov-17,Good service so far and nice work.what else you need to say.i need a car and they have car I need so I bough the car.,5,
77,04-Nov-17,I experienced great timely service at capitol hyundai and i am happy with the service i got and i would recommend this place to any of my friends or family,5,
78,04-Nov-17,"My experience with the Hyundai dealership was great. Working with Gus, Jason and our great salesman Kenneth Gordon. Kenneth was very professional and was a pleasure to work with.",5,
79,04-Nov-17,Wonderful service. Dealership staff was very helpful to me and to each other. Very willing to work me regarding monthly payments I could afford. Knowledgeable and attentive.,5,
81,02-Nov-17,"Treat u like family, and always putt your needs first . I will always come back , to that dealership. Staff is friendly. And always willing to help.",5,
82,02-Nov-17,"The easiest time I have ever had purchasing a vehicle.  They spent time with me and understood what I wanted and made a suggestion on a vehicle I had never even considered, but eventually purchased. Very happy!",5,
84,01-Nov-17,"I had a really good time at dealership, met some good people who is really professional in this business! I would highly recommend Capitol Hyundai to all my friends!",5,
85,26-Oct-17,I just would like to say everybody’s nice in that dealership and specially thanks Jessica and ninos for wonderful helping.and also thanks for the welcoming,5,
86,26-Oct-17,"good and quick purchasing experience, no haggle and honest price is the best policy.   as long as customers know what to expect for features and pricing will make the process easier.",5,
87,25-Oct-17,"I have purchased many cars during my 45 years of driving, but the experience I had working with Capitol Hyundai was the best ever! From the moment I walked onto the lot I was treated above and beyond my expectations. If you need to lease a new Hyundai you’d be crazy if you didn’t go to Captiol Hyundai.",5,
88,22-Oct-17,Excellent people with excellent service. I am fully satisfied with the service they offered me.I highly recommend going there and buying cars from them. They will never disappoint anyone.,5,
90,21-Oct-17,"My family is starting to accumulate Hyundai cars for its reliability, features, and price. I have a niece who owns an 6 year Elantra. I have a brother who's sold on Hyundai cars. He owns an sporty Elantra and next year he plans to buy the Santa Fe Sport.   When my recent car required a $6600.00 maintenance repair work, my husband and I thought about Hyundai from my brother. We initiailly shopped for other brands then landed at Capitol Hyundai. We were immediately impressed with the Genesis and took it for test drive. We were going to purchase it but the monthly payment was above our range.  We were excited to know that there was a model below the Genesis, the Azera with similar features as my Mercedes E500. The car has V6 engine with turbo and an attractive price. It's loaded with features. How can't you not gt excited with that. You do get more for your buck at Hyundai. We're enjoying driving with the Azera Limited immensely. I recommend Hyundai cars to everyone.",5,
92,20-Oct-17,Yasmin was extremely polite and helpful.super nice. I wish all dealer stuff were like her .Hope to get her again soon for another Hyundai car.thanks again.,5,
94,19-Oct-17,Casey Wilson was great help kept his word and promise on everything he said definitely recommending family and friends with him overall great experience and definitely recommend Capitol Hyundai,5,
95,16-Oct-17,Excellent service . I Will definitely recommend Capitol Hyundai to anyone. The staff was nothing but friendly and professional. Easiest vehicle purchase I have ever done.,5,
97,14-Oct-17,Easy fast professional  I was recommended by some one else The experience was amazing thanks to the customer service of Dillan . And this being the reason I referred some one else who also made a purchase with Dillan  just days later.,5,
98,14-Oct-17,"People are really professional, and about their business. I like that. Even though it was Casey’s day off he still came to get me the car I wanted. Special thanks to him.",5,
100,13-Oct-17,"Steve, Eric and Jason made car buying process hassle-free. I definitely recommend you go see them if you are looking to purchase a Hyundai. It was quick, easy and stress-free and I'm really enjoying my new Elantra.",5,
101,11-Oct-17,Pleasant car purchase experience. Dealer staff was straightforward and honest. They answered all of my questions in a timely manner. Purchase process was efficient. Switched from Toyota.,5,
102,11-Oct-17,"I Walked in with the vehicle I wanted to purchase, employees were friendly and worked with my timed schedule. The employees Were very thurogh with answering all my questions and through the lease signing.",5,
103,08-Oct-17,"Hyundai Capitol  is really excellent, the dealership it self is very clean , and their staffs are good, like Mr Kenneth Gordon, he is so friendly, greet you with a smile and knows all the things about the car which we are interested and explain everything all our options.If all sales persons are like this guy we think the relationship between the dealership and consumers will be very good... Keep it Kenneth,....Keep it up HYUNDAI CAPITOL...??????????",5,
104,07-Oct-17,This is my second time purchasing a vehicle from Steven Yee at Capitol Hyundai. He has provided by far the best service I have recieved at any dealership. I will continie to purchase from him as long as possible,5,
106,06-Oct-17,Already lease a 2016 Tuscon and we came into buy another car and brought a friend to buy one.  We knew who we needed to speak to and knew it would be a easy and fun experience.  And that is exactly what it was.,5,
108,04-Oct-17,"I like John, Ryan and the GM. They all help me a lot. John is very pro and nice to me. The GM helps me on parts that i cant wait for shipment so he solve my issue quickly. Ryan do my paperwork in 30 min and get me on the road just that quick.",5,
110,02-Oct-17,Absolutely love driving the Ioniq! Everyone was very nice and helped me through the process of purchasing my first car! Would definitely recommend Capitol Hyundai!,5,
111,01-Oct-17,"Had great experience with todd our sales person, very knowledgable, even though my car had some mention features missing like the heated steering wheel and the back heated seats option.",5,
112,29-Sep-17,"I like Hyundai brand and i love my car. I already got the car very good and very nice. Who was help me to purchase the car is the guy very fun, good guy.",5,
113,29-Sep-17,Everyone at Capitol Hyundai is Great!!  Pleasure working with them will definitely recommend to friends and family.  Fast and very straightforward when buying a new vehicle!!,5,
114,29-Sep-17,"This car is very nice, it has the up to date features. Love the back up camera. Hyundai offers a great product at a decent price. Their warranty and service are excellent",5,
115,29-Sep-17,"Employs very friendly, professional conduct the sale very well, strait forward no waste  of time. Documents got read at the same time as the car, full tank and clean. Besides the dear was busy everything went very well. I am a happy costumer and recommend the dealer to anyone. Good product and good cars.",5,
116,28-Sep-17,"We had a superb experience at capitol hyundai in bay area, This is our first car purchase and sales person "" John Nava "" is really an amazing guy. He Initially took all our requirements and showed us the best that matches us. And he finally recommended Hyundai Elantra Limited edition. The car is great and we are happy with the purchase at CAPITOL HYUNDAI.",5,
117,28-Sep-17,"Quick & thorough process for my first brand new car! Staff was friendly, attentive & helped me stay within my budget. Never felt pressured. Was in and out withing 3 hours!",5,
118,28-Sep-17,"I was very satisfied. Casey, my salesperson was very knowledgeable, personable and efficient. He was very patient and attentive. I was impressed with the whole experience and would definitely refer people to him and the company.",5,
119,28-Sep-17,Kenneth Helped us find the best car base on our needs and budget. He gave us the best deal ever. He is really patient and care for his customers!,5,
120,26-Sep-17,"Capitol Hyundai is a an excellent dealership. Very professional in every way. No high pressure sales tactics, simply tell you what's available and you pick what you want. When we returned to buy the car, they had already sold the one we intended to buy. Luckily they found the next level trim in the same color we intended to buy. Without initially even telling us, they substituted the higher trip (all wheel drive) for the one we wanted and kept the price the same. Most dealers play the switch and bait to upsell you the next trim level, but these guys are the opposite, they essentially gave us the next level without even asking. It doesn't get better that this. I recommend sales agent Tommy Tran and Finance agent Ninous. I am sure the others are also great but these two are exceptionally good and professional",5,
121,26-Sep-17,The sonata is for my 25yo daughter. It was a surprise until time to test drive (as she's much shorter than I & I needed to make sure it fit her). Tommy was great about the entire process. He made things as easy as pie. Thanks Tommy.,5,
123,22-Sep-17,The staff are friendly and informative.  Answer all my questions about the hybrid system. I'm thinking about buying another car from this dealership next year for my mom.,5,
124,22-Sep-17,The experice i had at the dealership meet my needs. The workers were very helpful and not pushy at anytime that we were there. We recommend my family and friends.,5,
128,21-Sep-17,"I generally really hate this car buying process, but this was very straightforward and exceeded my expectations.  Our sales agent knew the car well.  The finance guy did hot over sell things we did not need.  It was as fast as you could reasonably expect and we love the car.",5,
129,21-Sep-17,"I've always been afraid of leases but not with Hyundai. My returned vehicle was smooth and seemless as was my  New lease of a Tuscon ,Everyone at facility was friendly and courteous and very helpful and I'm very pleased.",5,
130,21-Sep-17,"It is the first time in buying a vehicle that I didn't feel any pressure to purchase a vehicle. I think that is probably the number one item that people dread, in buying a vehicle. That, coupled with the great price on the Elantra, made it a win win situation.",5,
131,20-Sep-17,Service was speedy and great!  Everything was thorough and up to par.  I felt comfortable making my decision and excited to purchase my first new car knowing everything about the deal.,5,
132,19-Sep-17,"Dillon was a very helpful, understanding sales person. I'm glad he helped me buy my first car, I love it and I had a great experience overall.",5,
133,16-Sep-17,"I am a person that absolutely avoids trying to purchase/lease a vehicle unless it is pertinent that I do so. Having said that, I must commend the staff at Capitol Hyundai for understanding what my needs are financially, to working with my wants in a vehicle. The whole process was very professional, timely and efficient.",5,
134,15-Sep-17,Excellent service very attentive polite and respectful and not pushy at all. Is direct and what we asked for and showed us what we would need,5,
136,15-Sep-17,"Capital Hyndai, exceeded our expectations. The salesman , John was very knowledgable and eager to meet our needs.  Jason in finance has been very helpful even after we left , answering any email i have in a very timely manner.",5,
137,14-Sep-17,"Everybody helps me to get what I want with the best price and condition. Thank you so Much, Capital Hyundai.I will recommend to all of my friends to visit Capital Hyundai. they treat me like they know me for a long time.",5,
138,14-Sep-17,They were very helpful.  They are motivated to sell you a car but they don't put undue pressure on you.  Our salesman was very knowledgeable and helpful,5,
139,14-Sep-17,"Good sale service. Good deal. Good rebate. I plan to come back for anther car. Steven Yee is a good one. This is my first Hyundai car. It is low price, but it comes with back camera and bluetooth connection. I just say that I am happy with it. Hope that the maintenance service department will be good also. Thanks.",5,
140,14-Sep-17,This is my second time buying a Hyundai with Steve it's always a great experience I will recommend this dealership to my friends and family thank you,5,
141,14-Sep-17,Dale made my purchase easy and fun. He was so knowledgeable about the product - I left knowing a lot more about Hyundai and How awesome their cars are. I'm loving my new car!,5,
142,12-Sep-17,"I went in expecting to purchase a vehicle. I didn't even want to consider a new vehicle thinking it was out of my price range. Steve took the time to give me all of my options and was never pushy. I ended up getting a brand new car that I LOVE and can afford. He even took the time to make sure I knew how everything worked and was set up properly as far as connecting the blue tooth with my phone, etc. I highly recommend Capitol Hyundai. It was worth the hour drive to get there.",5,
143,12-Sep-17,"If you're looking for a reliable vehicle with a good price, this is the place. The design and the appearance of the vehicle are also very attractive as well.",5,
144,10-Sep-17,Capitol Hyundai is a wonderful place to purchase or lease a vehicle. There is never any pressure and they take the time to show all the options. I will definitely return for my next car! Ask for Casey Wilson. He's the best!,5,
145,09-Sep-17,The dealership did an effective job describing various vehicle and finance options.  The purchase was wrapped up quickly and efficiently with the entire interaction from first entry to final purchase taking less that 24 hours.,5,
149,08-Sep-17,Rueben was a very professional sales person and took very good care of us.  He answered all of our questions and was very patient during the test drives we took when deciding on a vehicle.,5,
150,08-Sep-17,Yasmin was a great help when test driving various vehicle models. Eddie was great to work with when purchasing the vehicle. Very friendly and helpful in negotiating price.,5,
152,08-Sep-17,I appreciate that I wasn't push into leasing my car the same day I inquired about it. I also like that I saw and understood the pricing.,5,
154,07-Sep-17,"The Lady that helped me was pleasant and went an extra mile for me. I was there just to look at some SUVs, but the way that she treated me was enough to buy the car. Now 2 weeks later, I am very happy with the purchase.",5,
155,07-Sep-17,First new car buying experiences was awesome. Steven was great and so was the rest of the team. They made me feel like a friend. I felt completely satisfied when I left with our new car!,5,
156,06-Sep-17,My experience at Capitol Hyundia was fast and pleasant. The sale staff made the process a happy one.The finance people made this part of smooth and easy. I was completely satisfied with the hole process. I will recommend Capitol Hyundia to my friends.,5,
158,06-Sep-17,Best dealership in Santa Clara Valley. I will recommend to anyone I talk to. This my favorite place to go when buying a car. I will also go there for any check ups.,5,
159,01-Sep-17,"We purchased a new Santa Fe from Eric Wong at Capitol Hyanudai. We cannot recommend Eric highly enough. Eric is Friendly, Personable and Professional. The purchase transaction was smooth and straightforward. Eric and Aaron did all they could to ensure that we were heard and that we were taken care of. This is the way that a vehicle purchase transaction should be handled. We are completely satisfied and believe that everything was handled with our interests in mind. We highly recommend Eric and Capitol Hyundai. In fact, we have already referred two work colleagues.",5,
160,31-Aug-17,I had a great experience with Hyundai dealership. Everyone was friendly. so I prefer to talk to Yasmin and explain my needs to buy a new car she was really patient and smart she could meet my satisfaction on my need as far as technology wide and safety wise. so I am very happy,5,
161,31-Aug-17,"From the moment of contact with Steven Yee he was professional and helpful but not pushy. He went out of his way to find the EXACT Hyundai Tucson that I wanted. Two days later when my dad and I arrived to make the purchase he had everything in order for us. I had driven a like car at another dealership but he had me test drive ""my"" car and then showed me every single thing about it. They connected my phone too! What an awesome place to buy a car!",5,
162,30-Aug-17,I rate my transaction a five star and would definitely recommend this dealership manager was very courteous and respectful and met all of our expectations Thanks Steve great job.,5,
163,30-Aug-17,Everyone was very professional and courteous. Very much enjoyed dealing with Capitol Hyundai especially James Lee/Sales Representative and Ryan Paek/Finance manager. I would definitely recommend all my friends and family to them.,5,
164,27-Aug-17,Loved my overall purchae . Will come back again for another purchase of new car . Will def recommend to friend and family this dealership for their car purchases.,5,
165,27-Aug-17,"It had been a very pleasant experience buying the Accent from Capitol Hyundai. The specification and the budget for this car was perfect. The staff had been very friendly and made every attempt to fit the cost to my pocket. Having the experience of driving an Elantra for last five years, we definitely look forward to driving the new Accent. We are surely looking forward to getting back to the dealership for any future servicing needs.",5,
166,24-Aug-17,I bought a new Hyundai Ioniq hybrid. The Salesperson was very professional and helpful. I am very excited about my new vehicle and I recommend this dealership to anyone interested to buy a Hyundai.,5,
168,24-Aug-17,"Very happy with the service and price i received. If you go to this place, work with Elwira she is honest and listen to your needs. Trust me!",5,
169,22-Aug-17,Our experience was pleasant and professional. We enjoyed our time at the dealership. Eric and Jason were attentive. Our emails were answered promptly and completley.,5,
170,20-Aug-17,"Our salesperson was very courteous and informative, he kept us updated with the status of our vehicle deliver from the factory. Sale process was straight forward to give the perfect price for the new car.",5,
171,20-Aug-17,"I just want to thank Casey Wilson for helping me purchase my first car at Capitol Hyundai. I had such a great experience! With his positive, friendly, upbeat personality he helped me achieved my car goals.",5,
172,19-Aug-17,"Great job all around. Thanks for everything. Ford dealers provide the car pool stickers with new purchase, would Hyundai consider doing this too? Thanks again, it was fun buying a car from Hyandai",5,
173,19-Aug-17,"Bought a new 2017 Hyundai Tucson SE Plus from Capitol Hyundai. My dealer was Elwira Wilczynska who is very professional, caring, patience enough to explain the car features. She made the overall car purchase a very pleasant one to us. We enjoyed working with her in this car purchase process !!",5,
174,18-Aug-17,"James did wonderful job to me when I was considering a purchasing a vehicle. He was fully experienced and gave me right advices. I will definitely refer to my friends.  Thanks, James...",5,
176,18-Aug-17,"Very good, professional, understands the customer's needs! The sales person went out of his way to try to get me the car I needed. Overall very good!",5,
178,12-Aug-17,"Capitol Hyundai is a low-pressure and highly professional car dealership. All of the options were made very clear to me. I ended up getting a better financing deal through my own credit union, and at no point was I discouraged from doing so.   You really couldn't ask for a better car buying experience. Steven is great and so is the rest of the team. Thanks!",5,
179,12-Aug-17,"Pleasant, friendly efficient car purchase. When do those adjectives ever go with car purchase? This was a first for me. Even the discussion with the finance rep, which is usually awful and high pressure, was easy and efficient. It does not get much better than this.",5,
180,11-Aug-17,"Great salesman! Was very easy going with my mom, a first time Hyundai buyer. She was looking for a certain car and he was able to save us the one she wanted. He went above and beyond to help her out. Thank you!",5,
181,11-Aug-17,They made me feel at home and had alot of pacience to help me find the vehicle i was looking for.special thanks to jessica galvez very friendly .,5,
